ignore	huc12	states	name	area_sqkm	area_acres
9177	010900040911	RI	Aquidneck Island-Frontal Atlantic Ocean	24.09	5952.68
9178	010900040908	RI	Lower West Passage	117.72	29088.58
9179	010900040910	RI	Sakonnet River	144.72	35760.97
9180	010900040912	RI	Pettaquamscutt River-Frontal Atlantic Ocean	45.28	11188.26
9181	010900060201	RI	Block Island	28.36	7007.46
11814	010900060102	RI	Point Judith Pond-Frontal Block Island Sound	37.79	9337.83
11815	010900060101	RI	Saugatucket River	44.59	11018.19
13022	010900040602	RI	Flat River Reservoir	72.23	17847.45
15343	010900040603	RI	South Branch Pawtuxet River	43.08	10645.07
15344	010900040607	RI	North Branch Pawtuxet River	36.45	9008.1
15345	010900040608	RI	Pocasset River	53.23	13154.57
15346	010900040909	RI	Lower East Passage	82.37	20354.11
15349	010900040902	RI	Old Mill Creek-Narragansett Bay	68.21	16854.69
15352	010900040903	RI	Greenwich Bay	67.42	16660.17
15353	011000070201	RI	Chipuxet River-Pawcatuck River	66.57	16450.83
15354	011000070204	RI	Usquepaug River-Pawcatuck River	54.93	13573.86
15356	010900060103	RI	Ninigret Pond-Frontal Block Island Sound	86	21251.72
15554	010900040605	RI	Barden Reservoir-Ponaganset River	85.34	21089.19
41143	010900040609	RI	Pawtuxet River	79.01	19523.99
41178	010900040906	RI	Upper West Passage	74.21	18337.49
54894	010900060104	RI	Point Judith Harbor of Refuge-Block Island Sound	182.35	45059.54
54915	010900060202	RI	Rhode Island Sound-Block Island Sound	253.45	62627.83
54918	010900041000	RI	Sachuest Bay-Rhode Island Sound	270.36	66807.34
80939	010900040502	RI	Woonasquatucket River	132.49	32739.04
80943	010900030203	RI	Chepachet River	55.41	13691.46
80944	010900040501	RI	Moshassuck River	59.72	14757.43
80945	010900040601	RI	Big River	73.4	18137.49
80953	010900040604	RI	Moswansicut Pond-Huntinghouse Brook	57.43	14191.19
80954	010900040606	RI	Scituate Reservoir	100.31	24786.53
80955	010900040901	RI	Seekonk River-Providence River	85.76	21192.04
80956	010900040904	RI	Hunt River	64.08	15833.71
80957	010900040907	RI	Upper East Passage	75.08	18552.65
80991	011000070202	RI	Usquepaug River	94.43	23333.15
80994	011000070203	RI	Beaver River	31.97	7901.06
8219	011000010301	CT,MA,RI	Upper Fivemile River	99.44	24572.28
8231	020302030000	CT,NY,RI	Long Island Sound	3082.16	761618.25
1551	010900020504	MA,RI	Horseneck Beach-Rhode Island Sound	160.93	39767.1
1555	010900020503	MA,RI	Cold Brook-Rhode Island Sound	50.72	12534.29
1558	010900020502	MA,RI	Westport River	146.07	36094.27
13021	010900030208	MA,RI	Peters River-Blackstone River	108.62	26841.61
15341	010900030204	MA,RI	Branch River	68.87	17019.08
15553	010900030202	MA,RI	Clear River	117.32	28990.35
42747	010900040905	MA,RI	Mount Hope Bay	143.96	35572.59
42750	010900040701	MA,RI	Palmer River	134.24	33171.4
42752	010900040401	MA,RI	Ten Mile River	144.27	35650.49
42756	010900040702	MA,RI	Barrington River-Warren River	46.54	11499.75
80872	010900030207	MA,RI	Abbott Run	74.12	18314.21
80883	010900030205	MA,RI	Mill River	88.97	21986.05
80884	010900030206	MA,RI	Emerson Brook-Blackstone River	88.74	21927.03
86187	010900040803	MA,RI	Quequechan River	78	19274.09
11816	020302020804	NY,RI	Block Island Sound	628.26	155247.29
