"",".id","$ref","state","prj_seq","prj_title","total_319_funds","description","will_has_load_reductions_ind","project_type","huc_8","huc_12","statewide_ind","project_start_date","status","project_link","ws_protect_ind","watershed_plans","pollutants","Numeric_total_319_funds"
"1","items",NA,"NE",101253,"Lower Platte South NRD Water Quality Management Plan","$149,592","Overview
The main purposes for developing the Lower Platte South NRD WQMP are to provide a concise summary of the condition of water resources in the District and to provide direction and a coordinated approach for addressing nonpoint source pollution.  The WPMP will provide one overarching plan that will identify and focus on district-wide priorities.  Once the plan is in place, efforts can be directed to project development and funding acquisition. The WQMP will document a list of projects and practices aimed at improving water quality and removing impaired waters from the 303(d) list and provide specific project plans for implementation over the next 3-5 years. 



Objectives
The following goals and objectives are outlined below:
Goal 1. The primary goal of the WQMP is to reduce nonpoint source water pollution and improve water quality within the District. The project will be a comprehensive effort to improve water quality and bring impaired waters into compliance with standards through restorative and protective management strategies. 

Objective 1.1	Use data of the best available quality and extent to support decisions and actions to manage nonpoint source pollution. 

Objective 1.2 – Identify areas of interest and direct resources for priority projects and programs using the best available protocols and methods.

Objective 1.3 – Establish of a comprehensive phased implementation strategy that will address deficiencies and guide resource managers in enhancing and improving quality of the District’s water resources. 

Goal 2. Public officials, watershed residents, property owners, agricultural producers, and other stakeholders better understand relationships between human activities and water quality, in turn increasing community support for actions which will improve the quality of surface water and groundwater. 

Objective 2.1 – Establish strong, working partnerships and collaboration among agencies, landowners, and members of the public.

Objective 2.2 - Utilize the WQMP as the foundation of an outreach process encouraging participation of engagement of district residents, producers, and property owners in learning about and taking action to avoid or minimize negative impacts on water resources.

Methods
The methods in this case are the Tasks associated with the Objectives .  The Objectives are repeated in this section to put their associated tasks in context.

Objective 1.1	Use data of the best available quality and extent to support decisions and actions to manage nonpoint source pollution. 

Task 1.	Compile information across broad categories and formats, including that gathered from previously implemented conservation projects, to develop and maintain a basin-wide dataset.
Task 2.	Assess and map current land use and land cover to understand how land management practices have contributed to nonpoint source pollution. 
Task 3.	Utilize existing data, such as U.S. Geological Survey’s (USGS) SPARROW, to document the extent of pollutant loading in surface waters. 
Task 4.	Compile and assess existing groundwater quality information to identify potential water quality problems in the basin’s aquifers. 
Task 5.	Estimate watershed load reductions, considering both nonpoint and point sources at the HUC 12 level, necessary to meet goals for target water bodies. 
Task 6.	Study relationships between bacteria levels and streamflows to identify spatial and temporal areas of concern within the district. 
Task 7.	Survey and assess riparian and aquatic habitat conditions in the targeted stream channels and riparian areas within priority watersheds. 

Objective 1.2 – Identify areas of interest and direct resources for priority projects and programs using the best available protocols and methods.

Task 1.	Establish water resource target areas by analysis of stream segments, reservoirs, and wetlands relative to water quality conditions. 
Task 2.	Focus resources and efforts toward areas in a manner that will maximize benefits to the public and the resource. 
Task 3.	Develop a tool box of conservation practices and Standard Operating Procedures to support effective watershed management and restoration of water bodies in targeted areas.

Objective 1.3 – Establish of a comprehensive phased implementation strategy that will address deficiencies and guide resource managers in enhancing and improving quality of the District’s water resources. 

Task 1.	Establish a detailed and understandable step-by-step adaptive management approach to target water quality improvements for surface water and groundwater.

Task 2.	Draft a strategy document with recommendations for types, locations, and methods to install or implement land management practices, rehabilitate reservoirs, improve urban water resources, stabilize streams, rehabilitate or enhance aquatic habitat and wetlands, and protect groundwater. 

Task 3.	Identify priority management actions that will enhance conservation efforts to benefit upland and streamside wetlands and wildlife habitat. 

Task 4.	Use previously identified pollutant “hot spots” and recommend actions that will reduce the effect of contaminants on water resources. 

Task 5.	Identify and map target areas within priority watersheds for management actions to guide future installation of stream rehabilitation treatments to stabilize bed and bank erosion, improve natural functionality of streams, and to enhance or develop streamside wetlands.

Task 6.	Identify technical and financial resources needed to support implementation and assist the LPSNRD with budgeting resources. 

Task 7.	Identify criteria, schedules and milestones related to the implementation that will encompass planning, monitoring and assessment, implementation, and reporting. 

Objective 2.1 – Establish strong, working partnerships and collaboration among agencies, landowners, and members of the public.

Task 1.	Create a Citizens Advisory Council representing the varied interest of local stakeholders to work directly with a Technical Advisory Team.

Task 2.	Create a Technical Advisory Team composed of conservation professionals to develop water quality management plans for select watersheds. This team will include staff from LPSNRD staff, NDEQ, NGPC, NRCS, Counties, and other applicable resource agencies as required to advise and assist in all phases of developing the WQMP.

Task 3.	The council and advisory team will review and recommend management actions and assist with identification of target areas for inclusion in the WQMP.

Task 4.	The council and advisory team will review and summarize available resource data and information for inclusion in the WQMP.

Objective 2.2 - Utilize the WQMP as the foundation of an outreach process encouraging participation of engagement of district residents, producers, and property owners in learning about and taking action to avoid or minimize negative impacts on water resources.

Task 1.	Prepare a Public Involvement Strategy that will guide future outreach, education, and public input during project planning and construction.

Task 1.	Host an Open House, supported by the Technical Advisory Team, to allow landowners and the public an opportunity to provide input on the Water Quality Management Plan recommendations and findings. 

Task 2.	Review and incorporate significant public input received during the planning process. 

Task 3.	Utilize existing resources such as websites, press releases, newsletters, social media and mailings to ensure that landowners and the general public are aware of the WQMP and associated meetings and to solicit input. 

Task 4.	Widely distribute electronic copies of the WQMP to cities, villages, counties, and neighboring NRDs through electronic means including the project sponsor website.
","N","Project Implementation","10200203","102002030203","N","09/30/2016","Accepted by EPA","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:101253"" target=""_blank"">VIEW</a>","N","<a href=""https://ofmpub.epa.gov/apex/grts/GRTSADM.download_my_file?p_file=207587&p_page=PROJECT"">Lower Platte South NRD Water Quality Management Plan</a> [Developing Plan]",NA,149592
"2","items",NA,"IL",6674,"Greater Eliza Watershed Project – Phase 2","$178,794","Overview
The purpose of this project was to protect and improve the water quality of the Greater Eliza Watershed by reducing nonpoint source pollutants. The project provided cost-share assistance to watershed landowners to implement a variety of upland and floodplain best management practices (i.e., sediment basins, ponds, grassed waterways, grade stabilization structures, water and sediment control basins). An educational program was developed to educate the public about the importance of streambank stabilization and nonpoint source pollution. This project was a continuation of an effort initiated with FFY 1998 Section 319 funding.

Objectives
Greater Eliza Watershed Project Phase 2 – Final Report.”  May 12, 2004. Mercer County Soil and Water Conservation District.

Methods
Sediment Basins (3)","Y","Project Implementation","07080101","070801010703","N","06/01/2001","Completed","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:6674"" target=""_blank"">VIEW</a>",NA,NA,"Sedimentation-Siltation, Phosphorus, Nitrogen",178794
"3","items",NA,"IL",12162,"Greater Eliza Watershed Project – Phase 3","$174,631","Overview
The purpose of this project was to protect and improve the water quality of the Greater Eliza Watershed by reducing nonpoint source pollutants.  The project provided cost-share assistance to watershed landowners to implement a variety of upland and floodplain best management practices (ponds, grassed waterways, water and sediment control basins, and critical area planting).  An educational program was developed to educate the public about the importance of streambank stabilization and nonpoint source pollution.  This project was a continuation of an effort initiated with FFY 1998 and FFY 2001 Section 319 funding.

Objectives
This project addresses the following 2001 NPS Program goals:  Develop voluntary NPS programs that address one or more of the following:  monitoring, education, information, demonstration, technical assistance, and positive incentives to protect or improve the waters of Illinois. (4.12)  A primary state objective is to assist agricultural landowners to apply BMPs to the land to reduce soil erosion and sedimentation.  (4.3)


Methods
ponds, grassed waterways, water and sediment control basins, and critical area planting.","Y","Project Implementation","07080101","070801010703","N","09/08/2004","Completed","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:12162"" target=""_blank"">VIEW</a>",NA,NA,"Sedimentation-Siltation, Phosphorus, Nitrogen",174631
"4","items",NA,"IL",12202,"Greater Eliza Watershed Project","$126,687","Overview
The purpose of this project was to protect and improve the water quality of the Eliza Creek (ILMWD01) watershed by reducing nonpoint source pollutants. The project provided cost-share assistance to watershed landowners to implement a variety of upland and floodplain best management practices (i.e., sediment basins, ponds, terraces, waterways, grade stabilization structures, water and sediment control basins, vegetative filter strips). An educational program was also implemented to educate the public about the importance of streambank stabilization and nonpoint source pollution.

Objectives
“Greater Eliza Watershed Project – Final Report.”  August 1, 2001. Mercer County Soil & Water Conservation District.

Methods
BMP implementation","Y","Project Implementation","07080101","070801010703","N","05/01/1998","Completed","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:12202"" target=""_blank"">VIEW</a>",NA,NA,"Sedimentation-Siltation",126687
"5","items",NA,"AR",46824,"Cross County Erosion Control Project","$450,000","Overview
Project implementation will be accomplished through the Cross County Conservation District.  Irrigation water conveyance (NRCS Code 430) and structure for water control (NRCS Code 587) will be the best management practices implemented in this project to reduce nonpoint source pollution.  Practice 430 reduces the potential for nonpoint source pollution compared to more traditional irrigation methods by 1) replacing other types of conveyances (e.g., ditches or channels) and 2) allowing for a more even distribution of water across the field.  Using pipeline instead of a ditch to move water reduces the movement of sediment, which increases water quality.  Also, the use of pipeline allows for a more even distribution of water across the field, which decreases runoff, thus increasing water quality as well.  Practice 587 (i.e., drop-pipes) this practice is identified in ANRC’s 9 element plan as a priority BMP for the L’Anguille.  It reduces the potential for nonpoint source pollution and increases water quality compared to unmanaged runoff from fields by 1) trapping sediment, 2) reducing gully erosion and 3) managing downstream runoff.  Installing drop-pipes stabilizes the grade where the field’s water runs off, therefore controlling erosion and preventing the formation of gullies, thus increasing water quality.  In addition to the environmental benefits (increased water quality) from these practices, landowners in the District will also benefit economically as well from the more efficient transport of water, therefore reducing water usage costs.

To achieve the goal of reducing erosion from field runoff, pipe will be installed both above ground and/or underground in the L’Anguille River and Lower St. Francis River watersheds within Cross County.  The pipes are structures used to control the water level and release of water in irrigated fields.  Their purpose is to prevent erosion, increase water quality, reduce damage to the land, make possible proper management of irrigation water and reduce water conveyance losses.  The installation of approximately 115,600 feet of pipe and pipe structures will affect 31,380 acres of land.  The expected minimum lifespan of these pipes is 20 years, depending on the type installed (e.g., steel, corrugated metal, etc.).  The District is making a significant investment in this project and wants to maintain these pipes to increase and protect the water quality in the watershed.  The District will provide a map showing the location of installed pipes and acres of land protected as the project nears the end.  The district will administer the operations of the project, assisting project participants with the requirements necessary to meet NRCS specifications reflected from the guidelines received from the NRCS technician.   Also, the district will monitor the purchase of the specified materials to meet NRCS requirements.  The district will also require that each participant sign a cooperative agreement that will be retained on file in the Cross County Conservation District office. The Distict will administer periodic checks until the end of the agreement period.  NRCS will provide technical assistance throughout the project.  The district will provide each participant with NRCS installation guidelines, Structure for Water Control (code 587, and/or Irrigation Water Conveyance (code 430DD) and along with NRCS will conduct periodical site visits during installations.  District personnel will gather latitude and longitude coordinates for installed practices and report those to ANRC.  

The conservation district will solicit landowners by means of newspaper, radio, newsletters and posting project information flyers in public places for participation in the project and will administer an application sign up period.  

Approximately 76% of the project management practices will be installed in the L’Anguille River Watershed while approximately 26% being installed in the Lower St. Francis Watershed.  This project will provide a significant amount of sediment control for Cross County.


Objectives
The purpose of this project is to 1) prevent erosion, 2) improve water quality, 3) decrease damage to the land and 4) reduce water conveyance losses through proper management of irrigation water.  Reducing erosion will reduce the amount of sediment entering the watershed, thus improving water quality.  Reducing or minimizing the amount of time water passes over the ground surface reduces the likelihood of erosion (i.e., sediment transport).  This will be accomplished by controlling the transmission, transference, recovery and reuse of water by use of above ground and/or underground piping.

Methods
BMP Implementation- Structures for water control and underground water conveyance.","Y","Project Implementation","11110206","111102060503","N","06/01/2009","Completed","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:46824"" target=""_blank"">VIEW</a>",NA,NA,"Sedimentation-Siltation",450000
"6","items",NA,"AR",76760,"Yell County Litter Spreader","$8,483","Overview
The purpose of the project is to purchase a litter spreader and make it available to district cooperators.  The objective of this project will be to use the spreader as a nutrient management tool.

Objectives
A chicken litter spreader will be purchased for use by local land users to apply chicken litter to pasture and cropland in Yell County.  90% of the chicken litter will be applied to pastureland.  The spreader will reduce water quality degradation on poultry farms while improving/enhancing soil protection cover on cattle and row crop farms.  The spreader will be used by poultry producers to move winter time “cake-out” litter to dry storage stacking sheds instead of spreading on wet or frozen ground.  This same machine will be used during growing season to move litter from sheds/houses and safely applied on growing vegetation.  Spreader will also be used by cattle and row crop farmers to apply on their fields (traditionally very low in “P”) the litter they purchased from poultry producers that is traditionally very high in “P”.

In summary the spreader will provide a readily available economical alternative for moving litter from “high risk” poultry farms to “low risk” cattle and row crop farms.


Methods
Success will be measured by the number of acres and tons of chicken litter that is applied, and by the number of land users that use the spreader.  

We estimate that we will have 15 users the first year, 25 in year 2 and 35 after 3 years.

The litter spreader will be advertised in the local weekly paper and in all publications of the district newsletter.  The district’s WQT will supply land users information detailing the proper application and timing of spreading the litter .
","Y","Project Implementation","11110206","111102060503","N","04/01/2012","Completed","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:76760"" target=""_blank"">VIEW</a>",NA,NA,NA,8483
"7","items",NA,"AR",117342,"Arkansas Silviculture BMPs Outreach ","$45,600","Improve the Forestry BMP implementation rate on Arkansas’s privately owned forestlands by increasing the general knowledge of BMPs and their importance. ","N","Project Implementation","11110206","111102060503","N","10/01/2021",NA,"<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:117342"" target=""_blank"">VIEW</a>","N",NA,NA,45600
"8","items",NA,"NE",97536,"Nemaha River Basin Water Quality Management Plan","$150,000","Overview
The purpose of this project is to develop a 9-element watershed management plan for the Nemaha River Basin.

Objectives
1. All water resources in the Basin will be improved by working to achieve water quality standards through restorative and protection management strategies outlined in the Basin Plan.

2. Establish a comprehensive phased implementation strategy that will address deficiencies and guide resource managers in enhancing quality of water resources in the Basin.

3. During development of the Basin Plan, educate and involve public officials, watershed residents, property owners, agricultural producers and other stakeholders on the importance of supporting actions to improve the quality of surface water and groundwater.

Methods
1. All available information will be collected in order to identify and understand current land uses, land use changes, and the effects that these changes have on influencing structural and functional water resource deficiencies.
2. Basing on information found in the basin inventory, identify areas of interest and identify management for projects and programs.
3. Within the Basin Plan, NNRD will establish a detailed and understandable step-by-step adaptive management approach to target water quality improvements for surface water and groundwater.
4. Establish a group of resource managers and basin stakeholders into a steering committee to help identify a strategy to address resource deficiencies within the Basin Plan.
5. NNRD will lead the planning effort to enable resources managers, basin stakeholders, contributing partners, and other interested parties to be aware of and understand opportunities and actions within the accepted Basin Plan to reduce the impacts of runoff pollution to basin water resources.
","N","Project Implementation","10240005","102400051102","N","07/01/2015","Accepted by EPA","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:97536"" target=""_blank"">VIEW</a>","N","<a href=""https://ofmpub.epa.gov/apex/grts/GRTSADM.download_my_file?p_file=207390&p_page=PROJECT"">Nemaha River Basin Water Quality Management Plan </a> [Developing Plan]",NA,150000
"9","items",NA,"CA",82528,"P/A - Accelerating Water Quality Improvements in the Klamath Basin - 23250","$123,100","Overview
The Klamath Tracking and Accounting Program (Klamath TAP) defines a consistent accounting system that links conservation projects to load reductions called for in both California's and Oregon's Klamath River TMDLs. The Klamath TAP goal is to increase the pace and reduce the cost of improving Klamath Basin water quality to support all beneficial uses, including recovery of native fish. This project will: 1) integrate conservation priorities from multiple federal, state and private conservation initiatives interested in the Klamath river basin, 2) tailor tools to the specific needs of the Klamath basin and expand their applicability to additional conservation practices, 3) demonstrate the use of draft protocol and expanded tools by selecting, implementing and quantifying the benefits from multiple conservation projects, and 4) launch the full program by engaging program participants through training and outreach, and formally establishing the management system defined in the draft protocol. 

Objectives
The expansion of Klamath TAP described here will address impairments to Klamath main stem and tributaries including temperature, dissolved oxygen, and nutrients. Also, this project will fulfill a task identified in both California’s and Oregon’s Klamath River TMDLs: to develop and implement a basinwide water quality tracking and accounting program that would establish a framework to track water quality improvements, facilitate planning and coordinated TMDL implementation, and enable appropriate water quality offsets or trades.

Methods
Klamath TAP will occur in several steps: 
1) Site selection and eligibility. 
2) Quantification of baseline condition and post-project condition for temperature and nutrient loads.
3) Verification of reductions.
4) Calibration of load quantification tools.
5) Reporting of project data in a central database.
6) Adaptive management of both quantification tools and Klamath TAP program structure.","N","Project Implementation","18010210","180102100305","N","04/01/2013","Completed","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:82528"" target=""_blank"">VIEW</a>",NA,NA,NA,123100
"10","items",NA,"MT",68080,"Haskill Creek-Reimer Reach Floodplain Renovation","$32,000","Overview
This project will implement a demonstration design already completed for 1,222' of streambank on the Reimer Reach of Haskill Creek by lowering the high banks to floodplain elevation, installing woody debris jams, toe wood and conifer/willow fascines to provide bank stability and reduce bank and terrace erosion, and implementing a rigorous floodplain revegetation plan to create a riparian buffer for agricultural land. This addresses sites identified in the watershed assessment and implements the Flathead Lake TMDL Plan. The project involves the landowner, local businesses, local groups (Haskill Basin Watershed Council) and agencies (MT Watercourse, FCD, DNRC, others).

Objectives
1) Reduce nonpoint source pollution from bank related sources of sediment and nutrients to Haskill Creek and its downstream water bodies through passive techniques, 2) reduce local and downstream erosion and sedimentation by reestablishing floodplain connectivity and function, 3) improve riparian habitat and function by increasing cover of native riparian vegetation within the immediate floodplain corridor, 4) implement agricultural BMP's to prevent introduction of nutrients and 5) implement Flathead Lake TMDL to reduce siltation and sedimentation and its associated nutrients. These actions will also help reduce impacts to a 303(d) listed water body (Whitefish River).

Methods
The project will also provide applied science opportunities and service learning for Whitefish High School. As-built and post-runoff monitoring, and management will verify effectiveness.","Y","Project Implementation","10070003","100700030205","N","07/01/2011","Completed","<a href=""https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:68080"" target=""_blank"">VIEW</a>",NA,NA,"Sedimentation-Siltation",32000
