state;Counter
RI;0
04-Water(NPS)-05;1
23756;2
Middletown: Slate Hill Farm Stormwater Retrofit;3
2004;4
$14,402;5
$0;6
$0;7
$0;8
$0;9
$0;10
$0;11
$40,000;12
$0;13
$0;14
$54,402;15
None;16
Y;17
01090004;18
010900040911;19
Sedimentation-Siltation,Phosphorus,Nitrogen;20
None;21
None;22
None;23
N;24
08/01/2006;25
Completed;26
<a href="https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:23756" target="_blank">VIEW</a>;27
None;28
None;29
99125702;30
RI;31
04-Water(NPS)-05;32
23756;33
Middletown: Slate Hill Farm Stormwater Retrofit;34
2004;35
$14,402;36
$0;37
$0;38
$0;39
$0;40
$0;41
$0;42
$40,000;43
$0;44
$0;45
$54,402;46
None;47
Y;48
01090004;49
010900040911;50
Sedimentation-Siltation,Phosphorus,Nitrogen;51
None;52
None;53
None;54
N;55
08/01/2006;56
Completed;57
<a href="https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:23756" target="_blank">VIEW</a>;58
None;59
None;60
99125702;61
st_prj_no;Counter
RI;62
04-Water(NPS)-05;63
23756;64
Middletown: Slate Hill Farm Stormwater Retrofit;65
2004;66
$14,402;67
$0;68
$0;69
$0;70
$0;71
$0;72
$0;73
$40,000;74
$0;75
$0;76
$54,402;77
None;78
Y;79
01090004;80
010900040911;81
Sedimentation-Siltation,Phosphorus,Nitrogen;82
None;83
None;84
None;85
N;86
08/01/2006;87
Completed;88
<a href="https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:23756" target="_blank">VIEW</a>;89
None;90
None;91
99125702;92
RI;93
04-Water(NPS)-05;94
23756;95
Middletown: Slate Hill Farm Stormwater Retrofit;96
2004;97
$14,402;98
$0;99
$0;100
$0;101
$0;102
$0;103
$0;104
$40,000;105
$0;106
$0;107
$54,402;108
None;109
Y;110
01090004;111
010900040911;112
Sedimentation-Siltation,Phosphorus,Nitrogen;113
None;114
None;115
None;116
N;117
08/01/2006;118
Completed;119
<a href="https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:23756" target="_blank">VIEW</a>;120
None;121
None;122
99125702;123
prj_seq;Counter
RI;124
04-Water(NPS)-05;125
23756;126
Middletown: Slate Hill Farm Stormwater Retrofit;127
2004;128
$14,402;129
$0;130
$0;131
$0;132
$0;133
$0;134
$0;135
$40,000;136
$0;137
$0;138
$54,402;139
None;140
Y;141
01090004;142
010900040911;143
Sedimentation-Siltation,Phosphorus,Nitrogen;144
None;145
None;146
None;147
N;148
08/01/2006;149
Completed;150
<a href="https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:23756" target="_blank">VIEW</a>;151
None;152
None;153
99125702;154
RI;155
04-Water(NPS)-05;156
23756;157
Middletown: Slate Hill Farm Stormwater Retrofit;158
2004;159
$14,402;160
$0;161
$0;162
$0;163
$0;164
$0;165
$0;166
$40,000;167
$0;168
$0;169
$54,402;170
None;171
Y;172
01090004;173
010900040911;174
Sedimentation-Siltation,Phosphorus,Nitrogen;175
None;176
None;177
None;178
N;179
08/01/2006;180
Completed;181
<a href="https://ordspub.epa.gov/ords/grts/f?p=grts:700:::NO:RP,700:P700_PRJ_SEQ:23756" target="_blank">VIEW</a>;182
None;183
None;184
99125702;185
prj_title;Counter
RI;186
04-Water(NPS)-05;187
23756;188
Middletown: Slate Hill Farm Stormwater Retrofit;189
2004;190
$14,402;191
$0;192
$0;193
$0;194
$0;195
$0;196
$0;197
$40,000;198
$0;199
$0;200
$54,402;201
None;202
Y;203
01090004;204
010900040911;205
